Location,Project Count 2019,USA GDP 2019,Project Count 2018,USA GDP 2018,Project Count 2017,USA GDP 2017,"Outliers Removed (NY, CA, TX, WA) Project Count 2019","Outliers Removed (NY, CA, TX, WA) USA GDP 2019",2018-2019 Change in Project Count (%),2017-2018 Change in Project Count (%),2018-2019 Change in GDP (%),2017-2018 Change in GDP (%),Number of Universites Per State,Number of Universites Per State (No CA),Pop2020,Pop2018,Log Pop 2020,Log Pop 2018 
VA,517,56938,717,56110,673,54917,517,52124,-27.89400279,6.537890045,1.48,2.17,222,222,628061,626299,5.796781718,5.798001826
VT,69,48855,84,47649,73,47100,69,44831,-17.85714286,15.06849315,2.53,1.17,32,32,8626210,8517680,6.93032132,6.935820027
WA,1276,69761,1855,68007,1653,65169,,,-31.21293801,12.22020569,2.58,4.35,164,164,7797100,7535590,6.877117261,6.891933104
WI,201,52534,286,51938,225,51938,201,48666,-29.72027972,27.11111111,1.15,0.00,132,132,1778070,1805830,6.256676864,6.249948855
WV,47,40265,83,39617,72,38472,47,37353,-43.37349398,15.27777778,1.64,2.98,99,99,5851750,5813570,6.764442906,6.767285764
WY,18,67915,25,65859,29,65633,18,61091,-28,-13.79310345,3.12,0.34,17,17,567025,577737,5.761730182,5.753602207
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
