Sort,State,FIPS,County,CountySeat(s),Population(2010),LandAreakm2,LandAreami2,WaterAreakm2,WaterAreami2,TotalAreakm2,TotalAreami2,Latitude,Longitude,Hover
1,AL,1001,Autauga,Prattville,"54,571","1,539.58",594.436,25.776,9.952,"1,565.36",604.388,32.536382,-86.64449,Autauga<br>AL<br>01001
2,AL,1003,Baldwin,Bay Minette,"182,265","4,117.52","1,589.78","1,133.19",437.527,"5,250.71","2,027.31",30.659218,-87.746067,Baldwin<br>AL<br>01003
3,AL,1005,Barbour,Clayton,"27,457","2,291.82",884.876,50.865,19.639,"2,342.68",904.515,31.87067,-85.405456,Barbour<br>AL<br>01005
4,AL,1007,Bibb,Centreville,"22,915","1,612.48",622.582,9.289,3.587,"1,621.77",626.169,33.015893,-87.127148,Bibb<br>AL<br>01007
5,AL,1009,Blount,Oneonta,"57,322","1,669.96",644.776,15.157,5.852,"1,685.12",650.628,33.977448,-86.567246,Blount<br>AL<br>01009
6,AL,1011,Bullock,Union Springs,"10,914","1,613.06",622.805,6.057,2.338,"1,619.11",625.143,32.101759,-85.717261,Bullock<br>AL<br>01011
7,AL,1013,Butler,Greenville,"20,947","2,011.98",776.829,2.727,1.053,"2,014.70",777.882,31.751667,-86.681969,Butler<br>AL<br>01013
8,AL,1015,Calhoun,Anniston,"118,572","1,569.19",605.868,16.624,6.419,"1,585.81",612.287,33.771706,-85.822513,Calhoun<br>AL<br>01015
9,AL,1017,Chambers,Lafayette,"34,215","1,545.01",596.531,17.048,6.582,"1,562.06",603.113,32.917943,-85.391812,Chambers<br>AL<br>01017
10,AL,1019,Cherokee,Centre,"25,989","1,434.08",553.7,119.859,46.278,"1,553.94",599.978,34.069515,-85.654242,Cherokee<br>AL<br>01019
11,AL,1021,Chilton,Clanton,"43,643","1,794.48",692.854,20.586,7.948,"1,815.07",700.802,32.85406,-86.726628,Chilton<br>AL<br>01021
12,AL,1023,Choctaw,Butler,"13,859","2,365.96",913.5,19.059,7.359,"2,385.01",920.859,31.991008,-88.248887,Choctaw<br>AL<br>01023
13,AL,1025,Clarke,Grove Hill,"25,833","3,207.61","1,238.47",36.543,14.109,"3,244.15","1,252.57",31.685521,-87.818624,Clarke<br>AL<br>01025
14,AL,1027,Clay,Ashland,"13,932","1,564.25",603.961,5.285,2.04,"1,569.54",606.001,33.267809,-85.862051,Clay<br>AL<br>01027
15,AL,1029,Cleburne,Heflin,"14,972","1,450.65",560.1,2.366,0.913,"1,453.02",561.013,33.671981,-85.516109,Cleburne<br>AL<br>01029
16,AL,1031,Coffee,"Elba, Enterprise","49,948","1,758.53",678.972,3.945,1.523,"1,762.47",680.495,31.402183,-85.989201,Coffee<br>AL<br>01031
17,AL,1033,Colbert,Tuscumbia,"54,428","1,534.88",592.619,76.431,29.51,"1,611.31",622.129,34.703112,-87.801457,Colbert<br>AL<br>01033
18,AL,1035,Conecuh,Evergreen,"13,228","2,201.90",850.156,6.645,2.566,"2,208.54",852.722,31.428293,-86.992029,Conecuh<br>AL<br>01035
19,AL,1037,Coosa,Rockford,"11,539","1,685.89",650.926,39.947,15.423,"1,725.84",666.349,32.931445,-86.243482,Coosa<br>AL<br>01037
20,AL,1039,Covington,Andalusia,"37,765","2,668.87","1,030.46",34.526,13.331,"2,703.40","1,043.79",31.243987,-86.448721,Covington<br>AL<br>01039
21,AL,1041,Crenshaw,Luverne,"13,906","1,576.89",608.84,5.376,2.076,"1,582.26",610.916,31.732826,-86.319222,Crenshaw<br>AL<br>01041
22,AL,1043,Cullman,Cullman,"80,406","1,903.23",734.841,52.267,20.18,"1,955.50",755.021,34.131923,-86.869267,Cullman<br>AL<br>01043
23,AL,1045,Dale,Ozark,"50,251","1,453.37",561.15,4.016,1.551,"1,457.39",562.701,31.430654,-85.609476,Dale<br>AL<br>01045
24,AL,1047,Dallas,Selma,"43,820","2,534.81",978.695,39.135,15.11,"2,573.94",993.805,32.33354,-87.114356,Dallas<br>AL<br>01047
25,AL,1049,DeKalb,Fort Payne,"71,109","2,012.66",777.093,4.124,1.592,"2,016.79",778.685,34.460929,-85.803992,DeKalb<br>AL<br>01049
26,AL,1051,Elmore,Wetumpka,"79,303","1,601.87",618.485,99.863,38.557,"1,701.73",657.042,32.597229,-86.142739,Elmore<br>AL<br>01051
27,AL,1053,Escambia,Brewton,"38,319","2,447.75",945.08,20.873,8.059,"2,468.62",953.139,31.121748,-87.168429,Escambia<br>AL<br>01053
28,AL,1055,Etowah,Gadsden,"104,430","1,385.62",534.991,35.323,13.638,"1,420.94",548.629,34.047638,-86.03442,Etowah<br>AL<br>01055
29,AL,1057,Fayette,Fayette,"17,241","1,625.63",627.66,4.393,1.696,"1,630.02",629.356,33.732249,-87.752049,Fayette<br>AL<br>01057
30,AL,1059,Franklin,Russellville,"31,704","1,641.59",633.821,32.898,12.702,"1,674.49",646.523,34.441988,-87.842815,Franklin<br>AL<br>01059
31,AL,1061,Geneva,Geneva,"26,790","1,487.71",574.408,11.765,4.543,"1,499.48",578.951,31.090866,-85.824346,Geneva<br>AL<br>01061
32,AL,1063,Greene,Eutaw,"9,045","1,676.01",647.11,33.231,12.831,"1,709.24",659.941,32.844497,-87.964201,Greene<br>AL<br>01063
33,AL,1065,Hale,Greensboro,"15,760","1,667.80",643.943,32.526,12.558,"1,700.33",656.501,32.752796,-87.623061,Hale<br>AL<br>01065
34,AL,1067,Henry,Abbeville,"17,302","1,454.93",561.75,16.987,6.559,"1,471.91",568.309,31.516978,-85.239971,Henry<br>AL<br>01067
35,AL,1069,Houston,Dothan,"101,547","1,501.74",579.824,4.74,1.83,"1,506.48",581.654,31.158193,-85.296398,Houston<br>AL<br>01069
36,AL,1071,Jackson,Scottsboro,"53,227","2,791.67","1,077.87",126.657,48.903,"2,918.32","1,126.77",34.763522,-85.9774,Jackson<br>AL<br>01071
37,AL,1073,Jefferson,Birmingham,"658,466","2,878.19","1,111.28",32.474,12.538,"2,910.67","1,123.81",33.553444,-86.896536,Jefferson<br>AL<br>01073
38,AL,1075,Lamar,Vernon,"14,564","1,566.55",604.846,1.601,0.618,"1,568.15",605.464,33.787085,-88.087431,Lamar<br>AL<br>01075
39,AL,1077,Lauderdale,Florence,"92,709","1,729.33",667.697,138.027,53.293,"1,867.36",720.99,34.904122,-87.650997,Lauderdale<br>AL<br>01077
40,AL,1079,Lawrence,Moulton,"34,339","1,788.85",690.678,68.688,26.521,"1,857.54",717.199,34.529776,-87.321865,Lawrence<br>AL<br>01079
41,AL,1081,Lee,Opelika,"140,247","1,573.51",607.536,21.53,8.313,"1,595.04",615.849,32.604064,-85.353048,Lee<br>AL<br>01081
42,AL,1083,Limestone,Athens,"82,782","1,450.23",559.936,122.382,47.252,"1,572.61",607.188,34.810239,-86.9814,Limestone<br>AL<br>01083
43,AL,1085,Lowndes,Hayneville,"11,299","1,854.20",715.911,23.724,9.16,"1,877.92",725.071,32.147888,-86.650586,Lowndes<br>AL<br>01085
44,AL,1087,Macon,Tuskegee,"21,452","1,577.01",608.885,11.194,4.322,"1,588.20",613.207,32.387027,-85.692887,Macon<br>AL<br>01087
45,AL,1089,Madison,Huntsville,"334,811","2,076.12",801.593,28.771,11.109,"2,104.89",812.702,34.764238,-86.55108,Madison<br>AL<br>01089
46,AL,1091,Marengo,Linden,"21,027","2,530.11",976.882,14.995,5.789,"2,545.11",982.671,32.247591,-87.791091,Marengo<br>AL<br>01091
47,AL,1093,Marion,Hamilton,"30,776","1,922.53",742.292,3.313,1.279,"1,925.84",743.571,34.138219,-87.881551,Marion<br>AL<br>01093
48,AL,1095,Marshall,Guntersville,"93,019","1,465.52",565.842,148.503,57.337,"1,614.03",623.179,34.309564,-86.321668,Marshall<br>AL<br>01095
49,AL,1097,Mobile,Mobile,"412,992","3,184.22","1,229.44","1,073.75",414.577,"4,257.97","1,644.01",30.684573,-88.196568,Mobile<br>AL<br>01097
50,AL,1099,Monroe,Monroeville,"23,068","2,656.49","1,025.68",22.643,8.743,"2,679.13","1,034.42",31.580332,-87.383266,Monroe<br>AL<br>01099
51,AL,1101,Montgomery,Montgomery,"229,363","2,031.19",784.247,40.571,15.665,"2,071.76",799.912,32.203651,-86.203831,Montgomery<br>AL<br>01101
52,AL,1103,Morgan,Decatur,"119,490","1,500.48",579.337,51.065,19.716,"1,551.54",599.053,34.454484,-86.846402,Morgan<br>AL<br>01103
53,AL,1105,Perry,Marion,"10,591","1,863.92",719.664,10.919,4.216,"1,874.84",723.88,32.639005,-87.293827,Perry<br>AL<br>01105
54,AL,1107,Pickens,Carrollton,"19,746","2,282.84",881.408,22.578,8.717,"2,305.42",890.125,33.296809,-88.096878,Pickens<br>AL<br>01107
55,AL,1109,Pike,Troy,"32,899","1,740.72",672.094,2.363,0.912,"1,743.08",673.006,31.798726,-85.941997,Pike<br>AL<br>01109
56,AL,1111,Randolph,Wedowee,"22,913","1,503.62",580.55,9.285,3.585,"1,512.90",584.135,33.296475,-85.464068,Randolph<br>AL<br>01111
57,AL,1113,Russell,Phenix City,"52,947","1,660.55",641.14,15.673,6.052,"1,676.22",647.192,32.289811,-85.18698,Russell<br>AL<br>01113
58,AL,1115,St. Clair,"Ashville, Pell City","83,593","1,636.62",631.902,56.3,21.738,"1,692.92",653.64,33.712963,-86.315663,St. Clair<br>AL<br>01115
59,AL,1117,Shelby,Columbiana,"195,085","2,032.96",784.93,63.701,24.595,"2,096.66",809.525,33.262937,-86.678104,Shelby<br>AL<br>01117
60,AL,1119,Sumter,Livingston,"13,763","2,341.06",903.887,24.436,9.435,"2,365.49",913.322,32.597481,-88.200057,Sumter<br>AL<br>01119
61,AL,1121,Talladega,Talladega,"82,291","1,908.24",736.775,60.944,23.531,"1,969.18",760.306,33.369277,-86.175805,Talladega<br>AL<br>01121
62,AL,1123,Tallapoosa,Dadeville,"41,616","1,855.78",716.521,128.809,49.733,"1,984.59",766.254,32.863369,-85.799553,Tallapoosa<br>AL<br>01123
63,AL,1125,Tuscaloosa,Tuscaloosa,"194,656","3,423.33","1,321.76",76.396,29.497,"3,499.73","1,351.25",33.290202,-87.52286,Tuscaloosa<br>AL<br>01125
64,AL,1127,Walker,Jasper,"67,023","2,049.18",791.192,36.264,14.002,"2,085.44",805.194,33.791571,-87.301092,Walker<br>AL<br>01127
65,AL,1129,Washington,Chatom,"17,581","2,797.72","1,080.21",21.651,8.359,"2,819.37","1,088.57",31.406974,-88.202078,Washington<br>AL<br>01129
66,AL,1131,Wilcox,Camden,"11,670","2,301.20",888.498,48.985,18.913,"2,350.19",907.411,31.99033,-87.302205,Wilcox<br>AL<br>01131
67,AL,1133,Winston,Double Springs,"24,484","1,587.61",612.979,48.923,18.889,"1,636.53",631.868,34.155888,-87.364147,Winston<br>AL<br>01133
68,AK,2013,Aleutians East,Sand Point,"3,141","18,083.15","6,981.94","20,792.21","8,027.92","38,875.36","15,009.86",55.243722,-161.950749,Aleutians East<br>AK<br>02013
69,AK,2016,Aleutians West,Ñ,"5,561","11,370.76","4,390.28","25,190.64","9,726.16","36,561.41","14,116.44",51.959447,178.338813,Aleutians West <br>AK<br>02016
70,AK,2020,Anchorage,Anchorage,"291,826","4,415.11","1,704.68",663.861,256.318,"5,078.97","1,961.00",61.177549,-149.274354,Anchorage<br>AK<br>02020
71,AK,2050,Bethel,Ñ,"17,013","105,075.82","40,570.00","12,779.52","4,934.20","117,855.35","45,504.21",60.928916,-160.15335,Bethel <br>AK<br>02050
72,AK,2060,Bristol Bay,Naknek,997,"1,304.95",503.843,993.83,383.72,"2,298.78",887.563,58.731373,-156.986612,Bristol Bay<br>AK<br>02060
73,AK,2068,Denali,Healy,"1,826","33,026.00","12,751.41",66.069,25.509,"33,092.07","12,776.92",63.682732,-150.026719,Denali<br>AK<br>02068
74,AK,2070,Dillingham,Ñ,"4,847","48,092.91","18,568.78","6,077.22","2,346.43","54,170.14","20,915.21",59.824816,-158.602233,Dillingham <br>AK<br>02070
75,AK,2090,Fairbanks North Star,Fairbanks,"97,581","19,005.87","7,338.21",273.188,105.479,"19,279.06","7,443.69",64.690832,-146.599867,Fairbanks North Star<br>AK<br>02090
76,AK,2100,Haines,Haines,"2,508","6,005.15","2,318.60","1,053.88",406.903,"7,059.02","2,725.50",59.099905,-135.578102,Haines<br>AK<br>02100
77,AK,2105,Hoonah-Angoon,Ñ,"2,150","19,489.44","7,524.92","8,778.09","3,389.24","28,267.52","10,914.15",58.076434,-135.1851,Hoonah-Angoon <br>AK<br>02105
78,AK,2110,Juneau,Juneau,"31,275","6,997.97","2,701.93","1,429.58",551.962,"8,427.54","3,253.89",58.3727,-134.178781,Juneau<br>AK<br>02110
79,AK,2122,Kenai Peninsula,Soldotna,"55,400","41,634.92","16,075.33","22,473.29","8,676.99","64,108.21","24,752.32",60.366373,-152.321973,Kenai Peninsula<br>AK<br>02122
80,AK,2130,Ketchikan Gateway,Ketchikan,"13,477","12,583.23","4,858.41","4,649.41","1,795.15","17,232.65","6,653.56",55.449938,-131.106685,Ketchikan Gateway<br>AK<br>02130
81,AK,2150,Kodiak Island,Kodiak,"13,592","16,963.33","6,549.58","14,173.06","5,472.25","31,136.39","12,021.83",57.553611,-153.630911,Kodiak Island<br>AK<br>02150
82,AK,2164,Lake and Peninsula,King Salmon,"1,631","61,258.42","23,652.01","24,010.46","9,270.49","85,268.88","32,922.50",58.205065,-156.705188,Lake and Peninsula<br>AK<br>02164
83,AK,2170,Matanuska-Susitna,Palmer,"88,995","63,734.16","24,607.90","1,682.74",649.709,"65,416.90","25,257.61",62.182174,-149.407974,Matanuska-Susitna<br>AK<br>02170
84,AK,2180,Nome,Ñ,"9,492","59,470.69","22,961.76","13,768.01","5,315.86","73,238.70","28,277.62",64.783686,-164.188912,Nome <br>AK<br>02180
85,AK,2185,North Slope,Barrow,"9,430","229,720.05","88,695.41","15,801.18","6,100.87","245,521.23","94,796.28",69.449343,-153.47283,North Slope<br>AK<br>02185
86,AK,2188,Northwest Arctic,Kotzebue,"7,523","92,132.57","35,572.58","13,406.69","5,176.35","105,539.25","40,748.94",67.005066,-160.021086,Northwest Arctic<br>AK<br>02188
87,AK,2195,Petersburg,Ñ,"3,815","8,500.29","3,281.98","6,221.37","2,402.08","14,721.66","5,684.07",56.639612,-133.527996,Petersburg <br>AK<br>02195
88,AK,2198,Prince of Wales-Hyder,Ñ,"5,559","10,160.19","3,922.87","9,739.42","3,760.41","19,899.61","7,683.28",55.415683,-132.875734,Prince of Wales-Hyder <br>AK<br>02198
89,AK,2220,Sitka,Sitka,"8,881","7,434.14","2,870.34","5,027.40","1,941.09","12,461.55","4,811.43",57.142509,-135.332624,Sitka<br>AK<br>02220
90,AK,2230,Skagway,Skagway,968,"1,171.52",452.325,30.331,11.711,"1,201.85",464.036,59.575097,-135.335418,Skagway<br>AK<br>02230
91,AK,2240,Southeast Fairbanks,Ñ,"7,029","64,150.92","24,768.81",752.795,290.656,"64,903.71","25,059.46",63.864997,-143.218628,Southeast Fairbanks <br>AK<br>02240
92,AK,2261,Valdez-Cordova,Ñ,"9,636","88,680.88","34,239.88","15,799.69","6,100.30","104,480.57","40,340.18",61.34984,-145.023141,Valdez-Cordova <br>AK<br>02261
93,AK,2270,Wade Hampton,Ñ,"7,459","44,240.71","17,081.43","6,712.00","2,591.52","50,952.71","19,672.95",62.283174,-163.19095,Wade Hampton <br>AK<br>02270
94,AK,2275,Wrangell,Wrangell,"2,369","6,582.41","2,541.48","2,384.28",920.574,"8,966.69","3,462.06",56.279121,-132.040326,Wrangell<br>AK<br>02275
95,AK,2282,Yakutat,Yakutat,662,"19,812.00","7,649.46","4,696.71","1,813.41","24,508.71","9,462.87",59.999083,-140.239593,Yakutat<br>AK<br>02282
96,AK,2290,Yukon-Koyukuk,Ñ,"5,588","376,855.66","145,504.79","5,956.56","2,299.84","382,812.22","147,804.63",65.376131,-151.576855,Yukon-Koyukuk <br>AK<br>02290
97,AZ,4001,Apache,St. Johns,"71,518","29,001.44","11,197.52",54.176,20.917,"29,055.62","11,218.44",35.385845,-109.493747,Apache<br>AZ<br>04001
98,AZ,4003,Cochise,Bisbee,"131,346","15,969.06","6,165.69",137.025,52.906,"16,106.09","6,218.60",31.881793,-109.75412,Cochise<br>AZ<br>04003
99,AZ,4005,Coconino,Flagstaff,"134,421","48,222.69","18,618.89",109.964,42.457,"48,332.65","18,661.34",35.829692,-111.773728,Coconino<br>AZ<br>04005
100,AZ,4007,Gila,Globe,"53,597","12,322.99","4,757.93",97.112,37.495,"12,420.10","4,795.43",33.789618,-110.81187,Gila<br>AZ<br>04007
101,AZ,4009,Graham,Safford,"37,220","11,972.47","4,622.60",47.834,18.469,"12,020.31","4,641.07",32.931828,-109.87831,Graham<br>AZ<br>04009
102,AZ,4011,Greenlee,Clifton,"8,437","4,773.67","1,843.13",13.745,5.307,"4,787.42","1,848.43",33.238872,-109.242323,Greenlee<br>AZ<br>04011
103,AZ,4012,La Paz,Parker,"20,489","11,653.98","4,499.63",36.582,14.124,"11,690.57","4,513.75",33.727625,-114.038793,La Paz<br>AZ<br>04012
104,AZ,4013,Maricopa,Phoenix,"3,817,117","23,828.26","9,200.14",62.796,24.246,"23,891.06","9,224.39",33.346541,-112.495534,Maricopa<br>AZ<br>04013
105,AZ,4015,Mohave,Kingman,"200,186","34,475.55","13,311.08",387.371,149.565,"34,862.92","13,460.65",35.717705,-113.749689,Mohave<br>AZ<br>04015
106,AZ,4017,Navajo,Holbrook,"107,449","25,771.47","9,950.42",24.078,9.297,"25,795.55","9,959.72",35.390934,-110.320908,Navajo<br>AZ<br>04017
107,AZ,4019,Pima,Tucson,"980,263","23,794.31","9,187.04",5.338,2.061,"23,799.65","9,189.10",32.128237,-111.783018,Pima<br>AZ<br>04019
108,AZ,4021,Pinal,Florence,"375,770","13,896.87","5,365.61",22.332,8.622,"13,919.20","5,374.23",32.91891,-111.367257,Pinal<br>AZ<br>04021
109,AZ,4023,Santa Cruz,Nogales,"47,420","3,203.60","1,236.92",3.088,1.192,"3,206.69","1,238.11",31.525904,-110.84519,Santa Cruz<br>AZ<br>04023
110,AZ,4025,Yavapai,Prescott,"211,033","21,039.77","8,123.50",11.502,4.441,"21,051.27","8,127.94",34.630044,-112.573745,Yavapai<br>AZ<br>04025
111,AZ,4027,Yuma,Yuma,"195,751","14,281.17","5,513.99",13.254,5.117,"14,294.43","5,519.11",32.773942,-113.910905,Yuma<br>AZ<br>04027
112,AR,5001,Arkansas,"De Witt, Stuttgart","19,019","2,560.90",988.77,116.496,44.979,"2,677.40","1,033.75",34.289574,-91.376547,Arkansas<br>AR<br>05001
113,AR,5003,Ashley,Hamburg,"21,853","2,396.64",925.349,39.311,15.178,"2,435.95",940.527,33.190835,-91.772267,Ashley<br>AR<br>05003
114,AR,5005,Baxter,Mountain Home,"41,513","1,435.59",554.283,83.997,32.432,"1,519.59",586.715,36.28071,-92.330438,Baxter<br>AR<br>05005
115,AR,5007,Benton,Bentonville,"221,339","2,194.65",847.357,94.662,36.549,"2,289.31",883.906,36.337825,-94.256187,Benton<br>AR<br>05007
116,AR,5009,Boone,Harrison,"36,903","1,528.69",590.231,30.044,11.6,"1,558.74",601.831,36.304308,-93.079204,Boone<br>AR<br>05009
117,AR,5011,Bradley,Warren,"11,508","1,681.50",649.231,9.547,3.686,"1,691.05",652.917,33.463819,-92.168164,Bradley<br>AR<br>05011
118,AR,5013,Calhoun,Hampton,"5,368","1,628.02",628.581,9.926,3.833,"1,637.94",632.414,33.56046,-92.513879,Calhoun<br>AR<br>05013
119,AR,5015,Carroll,"Berryville, Eureka Springs","27,446","1,631.92",630.087,22.566,8.713,"1,654.48",638.8,36.337774,-93.541663,Carroll<br>AR<br>05015
120,AR,5017,Chicot,Lake Village,"11,800","1,668.74",644.304,120.392,46.483,"1,789.13",690.787,33.267139,-91.297158,Chicot<br>AR<br>05017
121,AR,5019,Clark,Arkadelphia,"22,995","2,243.12",866.074,43.396,16.755,"2,286.52",882.829,34.053312,-93.176205,Clark<br>AR<br>05019
122,AR,5021,Clay,"Piggott, Corning","16,083","1,656.21",639.465,5.106,1.971,"1,661.31",641.436,36.367302,-90.418704,Clay<br>AR<br>05021
123,AR,5023,Cleburne,Heber Springs,"25,970","1,434.06",553.692,99.015,38.23,"1,533.07",591.922,35.566288,-92.059974,Cleburne<br>AR<br>05023
124,AR,5025,Cleveland,Rison,"8,689","1,548.25",597.783,2.5,0.965,"1,550.75",598.748,33.893201,-92.188714,Cleveland<br>AR<br>05025
125,AR,5027,Columbia,Magnolia,"24,552","1,984.07",766.053,1.814,0.7,"1,985.88",766.753,33.21507,-93.226901,Columbia<br>AR<br>05027
126,AR,5029,Conway,Morrilton,"21,273","1,430.32",552.25,37.343,14.418,"1,467.66",566.668,35.265702,-92.689248,Conway<br>AR<br>05029
127,AR,5031,Craighead,"Lake City, Jonesboro","96,443","1,831.66",707.206,14.162,5.468,"1,845.82",712.674,35.828268,-90.630411,Craighead<br>AR<br>05031
128,AR,5033,Crawford,Van Buren,"61,948","1,536.11",593.094,28.874,11.148,"1,564.98",604.242,35.583041,-94.236224,Crawford<br>AR<br>05033
129,AR,5035,Crittenden,Marion,"50,902","1,579.27",609.76,68.939,26.617,"1,648.21",636.377,35.211878,-90.315331,Crittenden<br>AR<br>05035
130,AR,5037,Cross,Wynne,"17,870","1,596.42",616.381,15.349,5.926,"1,611.77",622.307,35.291259,-90.773894,Cross<br>AR<br>05037
131,AR,5039,Dallas,Fordyce,"8,116","1,728.52",667.386,1.864,0.72,"1,730.39",668.106,33.967823,-92.653999,Dallas<br>AR<br>05039
132,AR,5041,Desha,Arkansas City,"13,008","1,989.50",768.152,133.058,51.374,"2,122.56",819.526,33.828748,-91.244427,Desha<br>AR<br>05041
133,AR,5043,Drew,Monticello,"18,509","2,145.43",828.356,18.921,7.305,"2,164.35",835.661,33.587242,-91.722778,Drew<br>AR<br>05043
134,AR,5045,Faulkner,Conway,"113,237","1,678.01",647.884,41.927,16.188,"1,719.94",664.072,35.146356,-92.324654,Faulkner<br>AR<br>05045
135,AR,5047,Franklin,"Charleston, Ozark","18,125","1,576.93",608.857,27.934,10.785,"1,604.87",619.642,35.508573,-93.887672,Franklin<br>AR<br>05047
136,AR,5049,Fulton,Salem,"12,245","1,601.11",618.194,5.527,2.134,"1,606.64",620.328,36.383443,-91.819239,Fulton<br>AR<br>05049
137,AR,5051,Garland,Hot Springs,"96,024","1,755.45",677.781,147.214,56.84,"1,902.66",734.621,34.578861,-93.146915,Garland<br>AR<br>05051
138,AR,5053,Grant,Sheridan,"17,853","1,636.38",631.809,2.904,1.121,"1,639.28",632.93,34.288063,-92.423984,Grant<br>AR<br>05053
139,AR,5055,Greene,Paragould,"42,090","1,496.23",577.699,4.827,1.864,"1,501.06",579.563,36.119922,-90.565241,Greene<br>AR<br>05055
140,AR,5057,Hempstead,Hope,"22,609","1,884.27",727.52,35.372,13.657,"1,919.64",741.177,33.728611,-93.665809,Hempstead<br>AR<br>05057
141,AR,5059,Hot Spring,Malvern,"32,923","1,593.37",615.202,18.053,6.97,"1,611.42",622.172,34.315177,-92.944147,Hot Spring<br>AR<br>05059
142,AR,5061,Howard,Nashville,"13,789","1,524.35",588.554,17.509,6.76,"1,541.86",595.314,34.083179,-93.990988,Howard<br>AR<br>05061
143,AR,5063,Independence,Batesville,"36,647","1,978.63",763.953,19.594,7.565,"1,998.22",771.518,35.737499,-91.559942,Independence<br>AR<br>05063
144,AR,5065,Izard,Melbourne,"13,696","1,503.69",580.577,8.913,3.441,"1,512.60",584.018,36.094879,-91.913625,Izard<br>AR<br>05065
145,AR,5067,Jackson,Newport,"17,997","1,641.89",633.938,19.588,7.563,"1,661.48",641.501,35.596605,-91.223178,Jackson<br>AR<br>05067
146,AR,5069,Jefferson,Pine Bluff,"77,435","2,255.22",870.746,111.448,43.03,"2,366.67",913.776,34.277696,-91.930701,Jefferson<br>AR<br>05069
147,AR,5071,Johnson,Clarksville,"25,540","1,708.88",659.804,59.416,22.94,"1,768.30",682.744,35.573359,-93.466322,Johnson<br>AR<br>05071
148,AR,5073,Lafayette,Lewisville,"7,645","1,368.21",528.268,43.539,16.811,"1,411.75",545.079,33.24066,-93.611643,Lafayette<br>AR<br>05073
149,AR,5075,Lawrence,Walnut Ridge,"17,415","1,521.91",587.614,12.245,4.728,"1,534.16",592.342,36.041098,-91.101153,Lawrence<br>AR<br>05075
150,AR,5077,Lee,Marianna,"10,424","1,560.78",602.621,43.722,16.881,"1,604.50",619.502,34.77975,-90.779288,Lee<br>AR<br>05077
151,AR,5079,Lincoln,Star City,"14,134","1,454.32",561.517,27.631,10.668,"1,481.95",572.185,33.957665,-91.727624,Lincoln<br>AR<br>05079
152,AR,5081,Little River,Ashdown,"13,171","1,378.53",532.253,84.208,32.513,"1,462.74",564.766,33.699497,-94.229774,Little River<br>AR<br>05081
153,AR,5083,Logan,"Booneville, Paris","22,353","1,834.03",708.125,60.696,23.435,"1,894.73",731.56,35.21855,-93.720563,Logan<br>AR<br>05083
154,AR,5085,Lonoke,Lonoke,"68,356","1,996.18",770.728,83.17,32.112,"2,079.35",802.84,34.755114,-91.894132,Lonoke<br>AR<br>05085
155,AR,5087,Madison,Huntsville,"15,717","2,160.71",834.255,7.316,2.825,"2,168.03",837.08,36.012545,-93.724053,Madison<br>AR<br>05087
156,AR,5089,Marion,Yellville,"16,653","1,546.25",597.009,112.175,43.311,"1,658.42",640.32,36.266656,-92.678588,Marion<br>AR<br>05089
157,AR,5091,Miller,Texarkana,"43,462","1,620.24",625.578,31.264,12.071,"1,651.50",637.649,33.305505,-93.901509,Miller<br>AR<br>05091
158,AR,5093,Mississippi,"Blytheville, Osceola","46,480","2,332.48",900.574,49.826,19.238,"2,382.30",919.812,35.766943,-90.052209,Mississippi<br>AR<br>05093
159,AR,5095,Monroe,Clarendon,"8,149","1,572.44",607.122,36.715,14.176,"1,609.15",621.298,34.679513,-91.203314,Monroe<br>AR<br>05095
160,AR,5097,Montgomery,Mount Ida,"9,487","2,019.88",779.88,52.86,20.409,"2,072.74",800.289,34.545652,-93.664147,Montgomery<br>AR<br>05097
161,AR,5099,Nevada,Prescott,"8,997","1,600.19",617.837,7.258,2.802,"1,607.45",620.639,33.666699,-93.305072,Nevada<br>AR<br>05099
162,AR,5101,Newton,Jasper,"8,330","2,126.11",820.896,5.932,2.29,"2,132.04",823.186,35.910063,-93.215084,Newton<br>AR<br>05101
163,AR,5103,Ouachita,Camden,"26,120","1,897.90",732.783,18.05,6.969,"1,915.95",739.752,33.591158,-92.878418,Ouachita<br>AR<br>05103
164,AR,5105,Perry,Perryville,"10,445","1,428.13",551.402,23.649,9.131,"1,451.78",560.533,34.946363,-92.926877,Perry<br>AR<br>05105
165,AR,5107,Phillips,Helena-West Helena,"21,757","1,801.76",695.663,82.056,31.682,"1,883.81",727.345,34.425842,-90.848386,Phillips<br>AR<br>05107
166,AR,5109,Pike,Murfreesboro,"11,291","1,555.59",600.618,34.996,13.512,"1,590.59",614.13,34.158191,-93.658659,Pike<br>AR<br>05109
167,AR,5111,Poinsett,Harrisburg,"24,583","1,964.22",758.389,13.523,5.221,"1,977.74",763.61,35.568981,-90.680595,Poinsett<br>AR<br>05111
168,AR,5113,Polk,Mena,"20,662","2,221.38",857.679,12.387,4.783,"2,233.77",862.462,34.490915,-94.230884,Polk<br>AR<br>05113
169,AR,5115,Pope,Russellville,"61,754","2,104.49",812.548,47.207,18.227,"2,151.70",830.775,35.455297,-93.031535,Pope<br>AR<br>05115
170,AR,5117,Prairie,"Des Arc, De Valls Bluff","8,715","1,678.20",647.958,71.629,27.656,"1,749.83",675.614,34.828225,-91.5572,Prairie<br>AR<br>05117
